WARN   | wrapper  | 2013/05/05 23:50:48 | Unable to write to the configured log directory: /Users/fly/develop/elasticsearch-0.90.0/logs (No such file or directory)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0xdd600426, /192.168.1.202:49277 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0xdc2264a6, /192.168.1.202:49275 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0xf420c896, /192.168.1.202:49276 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0xd484a9a4, /192.168.1.202:49275 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0xf46c2b09, /192.168.1.202:49279 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0x8b9a1eb3, /192.168.1.202:49273 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0x6a78bfb2, /192.168.1.202:49280 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0x65f63dd9, /192.168.1.202:49272 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0x57b37edb, /192.168.1.202:49278 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0x4d4c1b6b, /192.168.1.202:49274 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.run(NioWorker.java:178)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.ThreadRenamingRunnable.run(ThreadRenamingRunnable.java:108)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.util.internal.DeadLockProofWorker$1.run(DeadLockProofWorker.java:42)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/06 11:44:49 | [2013-05-06 11:44:49,611][WARN ][transport.netty          ] [FLY] exception caught on transport layer [[id: 0x9d2ef3a7, /192.168.1.202:49276 => /192.168.1.202:9300]], closing connection
INFO   | jvm 1    | 2013/05/06 11:44:49 | java.io.IOException: Operation timed out
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.FileDispatcher.read0(Native Method)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:21)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:198)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.IOUtil.read(IOUtil.java:166)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:245)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.NioWorker.read(NioWorker.java:64)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.process(AbstractNioWorker.java:107)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
INFO   | jvm 1    | 2013/05/06 11:44:49 | 	at org.elasticsearch.common.netty.channel.socket.nio.AbstractNioWorker.run(AbstractNioWorker.java:88)
